ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
21784,Zack Moss,1.1,1,BUF,NYJ,1.2,0.0,0.3,1.8,0.1,0.0
21784,Zack Moss,4.7,2,BUF,MIA,41.6,0.0,0.0,0.0,0.0,0.0
21784,Zack Moss,0.0,3,BUF,LAR,0.0,0.0,0.0,0.0,0.0,0.0
21784,Zack Moss,0.0,4,BUF,LV,0.0,0.0,0.0,0.0,0.0,0.0
21784,Zack Moss,0.0,5,BUF,TEN,0.0,0.0,0.0,0.0,0.0,0.0
21784,Zack Moss,0.8,6,BUF,KC,8.2,0.0,0.0,0.0,0.0,0.0
21784,Zack Moss,13.1,7,BUF,NYJ,70.6,0.0,6.8,37.6,0.0,0.0
21784,Zack Moss,30.5,8,BUF,NE,122.8,4.6,0.0,0.0,0.0,0.0
21784,Zack Moss,4.4,9,BUF,SEA,11.1,0.4,0.8,18.4,0.0,0.0
21784,Zack Moss,6.0,10,BUF,ARI,33.1,0.0,2.7,-5.0,0.0,0.0
21784,,0,11,BUF,,0,0,0,0,0,0
