ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
21769,Clyde Edwards-Helaire,28.4,1,KC,HOU,198.2,2.1,0.0,0.0,0.0,0.0
21769,Clyde Edwards-Helaire,4.4,2,KC,LAC,25.2,0.0,2.6,21.2,0.0,0.0
21769,Clyde Edwards-Helaire,21.1,3,KC,BAL,85.0,0.0,8.8,93.0,0.0,0.0
21769,Clyde Edwards-Helaire,0.8,4,KC,NE,18.0,0.0,0.2,2.1,0.0,0.0
21769,Clyde Edwards-Helaire,8.5,5,KC,LV,37.9,0.0,2.7,37.9,0.0,0.0
21769,Clyde Edwards-Helaire,31.6,6,KC,BUF,269.4,0.0,11.2,13.4,0.0,0.0
21769,Clyde Edwards-Helaire,10.7,7,KC,DEN,38.5,0.7,0.7,14.2,0.0,0.0
21769,Clyde Edwards-Helaire,1.2,8,KC,NYJ,10.8,0.0,0.8,2.7,0.0,0.0
21769,Clyde Edwards-Helaire,12.9,9,KC,CAR,16.5,0.0,4.2,23.6,1.4,0.0
21769,,0,10,KC,,0,0,0,0,0,0
21769,Clyde Edwards-Helaire,21.6,11,KC,LV,73.9,2.3,1.1,9.2,0.0,0.0
