ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
14916,Giovani Bernard,13.1,1,CIN,LAC,11.6,0.0,10.9,34.7,0.0,0.0
14916,Giovani Bernard,1.2,2,CIN,CLE,0.7,0.0,1.2,10.7,0.0,0.0
14916,Giovani Bernard,10.3,3,CIN,PHI,0.0,0.0,4.4,66.7,0.0,0.0
14916,Giovani Bernard,0.2,4,CIN,JAX,1.8,0.0,0.0,0.0,0.0,0.0
14916,Giovani Bernard,1.0,5,CIN,BAL,0.0,0.0,1.1,4.2,0.0,0.0
14916,Giovani Bernard,14.1,6,CIN,IND,20.5,1.9,5.6,17.8,0.0,0.0
14916,Giovani Bernard,10.7,7,CIN,CLE,21.9,0.0,1.7,34.9,0.3,0.0
14916,Giovani Bernard,3.5,8,CIN,TEN,25.1,0.2,0.5,2.6,0.2,0.0
14916,,0,9,CIN,,0,0,0,0,0,0
14916,Giovani Bernard,2.1,10,CIN,PIT,16.8,0.0,1.2,5.3,0.0,0.0
14916,Giovani Bernard,11.8,11,CIN,WAS,22.6,0.0,6.3,46.4,0.0,0.0
