ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
21797,La'Mical Perine,0.0,1,NYJ,BUF,0.0,0.0,0.0,0.0,0.0,0.0
21797,La'Mical Perine,0.1,2,NYJ,SF,1.5,0.0,0.0,0.0,0.0,0.0
21797,La'Mical Perine,3.0,3,NYJ,IND,23.0,0.0,1.8,-1.0,0.0,0.0
21797,La'Mical Perine,3.6,4,NYJ,DEN,23.2,0.0,0.0,0.0,0.0,0.0
21797,La'Mical Perine,0.0,5,NYJ,ARI,0.0,0.0,0.0,0.0,0.0,0.0
21797,La'Mical Perine,11.4,6,NYJ,MIA,42.5,0.0,5.0,14.2,0.0,0.0
21797,La'Mical Perine,6.9,7,NYJ,BUF,29.6,0.5,1.1,11.8,0.0,0.0
21797,La'Mical Perine,1.3,8,NYJ,KC,14.8,0.0,0.6,1.8,0.0,0.0
21797,La'Mical Perine,7.1,9,NYJ,NE,23.1,0.0,3.0,23.1,0.0,0.0
21797,,0,10,NYJ,,0,0,0,0,0,0
21797,La'Mical Perine,6.8,11,NYJ,LAC,28.1,0.7,0.0,0.0,0.0,0.0
