ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19824,,0,1,LAC,,0,0,0,0,0,0
19824,Kalen Ballage,6.7,2,NYJ,SF,12.4,0.0,4.9,18.9,0.0,0.0
19824,Kalen Ballage,0.8,3,NYJ,IND,0.8,0.0,0.5,14.1,0.0,0.0
19824,Kalen Ballage,0.3,4,NYJ,DEN,0.0,0.0,0.3,1.7,0.0,0.0
19824,,0,5,LAC,,0,0,0,0,0,0
19824,,0,6,LAC,,0,0,0,0,0,0
19824,,0,7,LAC,,0,0,0,0,0,0
19824,,0,8,LAC,,0,0,0,0,0,0
19824,Kalen Ballage,4.5,9,LAC,LV,37.1,0.3,0.6,4.3,0.0,0.0
19824,Kalen Ballage,3.0,10,LAC,MIA,32.9,0.0,1.2,16.5,0.0,0.0
19824,Kalen Ballage,10.5,11,LAC,NYJ,43.7,0.0,6.9,26.8,0.0,0.0
