ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
18003,Kenyan Drake,23.2,1,ARI,SF,103.1,3.0,5.9,14.8,0.0,0.0
18003,Kenyan Drake,16.8,2,ARI,WAS,137.3,0.0,5.1,14.4,0.0,0.0
18003,Kenyan Drake,10.7,3,ARI,DET,93.4,0.0,1.6,9.8,0.0,0.0
18003,Kenyan Drake,4.6,4,ARI,CAR,40.0,0.0,0.0,0.0,0.0,0.0
18003,Kenyan Drake,10.5,5,ARI,NYJ,49.6,0.7,0.7,1.4,0.0,0.0
18003,Kenyan Drake,20.0,6,ARI,DAL,115.6,1.0,0.0,0.0,0.0,0.0
18003,Kenyan Drake,0.7,7,ARI,SEA,13.2,0.0,0.2,1.1,0.0,0.0
18003,,0,8,ARI,,0,0,0,0,0,0
18003,Kenyan Drake,0.0,9,ARI,MIA,0.0,0.0,0.0,0.0,0.0,0.0
18003,Kenyan Drake,10.2,10,ARI,BUF,108.1,0.0,1.2,10.5,0.0,1.2
18003,Kenyan Drake,4.3,11,ARI,SEA,16.0,0.3,1.2,17.1,0.0,0.0
