ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
21776,Joshua Kelley,14.1,1,LAC,CIN,70.7,1.4,0.0,0.0,0.0,0.0
21776,Joshua Kelley,0.8,2,LAC,KC,16.1,0.0,0.1,12.3,0.0,0.0
21776,Joshua Kelley,5.6,3,LAC,CAR,49.5,0.0,2.7,10.4,0.0,1.3
21776,Joshua Kelley,0.7,4,LAC,TB,1.7,0.0,0.7,12.9,0.0,0.2
21776,Joshua Kelley,8.4,5,LAC,NO,40.5,0.0,2.0,12.6,0.0,0.0
21776,,0,6,LAC,,0,0,0,0,0,0
21776,Joshua Kelley,10.7,7,LAC,JAX,39.8,0.0,9.4,32.9,0.0,0.0
21776,Joshua Kelley,6.7,8,LAC,DEN,47.8,0.0,2.2,-10.5,0.0,0.0
21776,Joshua Kelley,6.7,9,LAC,LV,25.1,0.0,4.0,27.8,0.0,0.0
21776,Joshua Kelley,4.0,10,LAC,MIA,28.9,0.0,0.0,0.0,0.0,0.0
21776,Joshua Kelley,0.6,11,LAC,NYJ,-1.4,0.0,1.0,2.0,0.0,0.0
