ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19912,Nyheim Hines,40.4,1,IND,JAX,48.6,3.0,13.9,78.1,3.0,0.0
19912,Nyheim Hines,0.3,2,IND,MIN,0.0,0.0,0.3,1.3,0.0,0.0
19912,Nyheim Hines,10.5,3,IND,NYJ,27.2,0.0,6.7,51.8,0.0,0.0
19912,Nyheim Hines,12.3,4,IND,CHI,38.9,0.0,7.9,13.0,0.0,0.0
19912,Nyheim Hines,2.8,5,IND,CLE,5.7,0.0,1.4,18.6,0.0,0.0
19912,Nyheim Hines,7.2,6,IND,CIN,0.0,0.0,7.0,31.9,0.0,0.0
19912,,0,7,IND,,0,0,0,0,0,0
19912,Nyheim Hines,4.7,8,IND,DET,1.9,0.0,0.7,26.4,0.5,0.0
19912,Nyheim Hines,7.1,9,IND,BAL,21.9,0.0,2.9,24.3,0.0,0.0
19912,Nyheim Hines,15.3,10,IND,TEN,41.1,0.3,1.7,26.4,0.3,0.0
19912,Nyheim Hines,10.4,11,IND,GB,4.6,0.0,7.0,47.2,0.0,0.0
