ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19861,Ronald Jones II,13.7,1,TB,NO,98.0,0.0,4.4,23.8,0.0,0.0
19861,Ronald Jones II,14.5,2,TB,CAR,34.5,2.2,4.5,9.0,0.0,0.0
19861,Ronald Jones II,11.6,3,TB,DEN,62.6,0.0,2.8,23.6,0.0,0.0
19861,Ronald Jones II,14.4,4,TB,LAC,101.1,0.0,5.0,15.5,0.0,0.0
19861,Ronald Jones II,4.9,5,TB,CHI,63.0,0.0,1.1,11.3,0.0,0.0
19861,Ronald Jones II,15.2,6,TB,GB,68.5,0.7,0.7,2.9,0.0,0.0
19861,Ronald Jones II,0.8,7,TB,LV,2.9,0.1,0.1,0.2,0.0,0.0
19861,Ronald Jones II,7.5,8,TB,NYG,29.5,0.0,6.6,29.5,0.0,1.6
19861,Ronald Jones II,3.1,9,TB,NO,8.4,0.0,2.8,8.4,0.0,0.0
19861,Ronald Jones II,41.0,10,TB,CAR,323.9,2.8,2.8,10.1,0.0,2.8
19861,Ronald Jones II,1.2,11,TB,LAR,17.2,0.0,0.0,0.0,0.0,0.0
