ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
17923,Ezekiel Elliott,41.6,1,DAL,LAR,152.4,2.5,7.6,49.2,2.5,0.0
17923,Ezekiel Elliott,25.3,2,DAL,ATL,117.4,1.7,10.4,43.5,0.0,1.7
17923,Ezekiel Elliott,4.1,3,DAL,SEA,17.9,0.3,1.7,12.6,0.0,0.0
17923,Ezekiel Elliott,1.2,4,DAL,CLE,14.6,0.0,0.6,19.2,0.0,0.1
17923,Ezekiel Elliott,22.5,5,DAL,NYG,89.1,1.9,1.0,13.7,0.0,0.0
17923,Ezekiel Elliott,4.0,6,DAL,ARI,34.8,0.0,4.0,22.0,0.0,1.0
17923,Ezekiel Elliott,11.3,7,DAL,WAS,63.8,0.0,2.0,12.1,0.0,0.0
17923,Ezekiel Elliott,10.9,8,DAL,PHI,88.3,0.0,2.0,14.0,0.0,0.0
17923,Ezekiel Elliott,2.9,9,DAL,PIT,31.1,0.0,0.7,11.0,0.0,0.0
17923,,0,10,DAL,,0,0,0,0,0,0
17923,Ezekiel Elliott,27.9,11,DAL,MIN,155.9,0.0,4.6,16.7,2.3,0.0
