ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
14917,Rex Burkhead,2.8,1,NE,MIA,29.9,0.0,0.0,0.0,0.0,0.0
14917,Rex Burkhead,10.0,2,NE,SEA,2.9,0.0,5.8,56.6,0.0,0.0
14917,Rex Burkhead,15.5,3,NE,LV,24.3,0.5,1.7,24.3,0.2,0.0
14917,Rex Burkhead,5.7,4,NE,KC,45.9,0.0,1.0,5.2,0.0,0.0
14917,,0,5,NE,,0,0,0,0,0,0
14917,Rex Burkhead,0.5,6,NE,DEN,4.7,0.0,0.0,0.0,0.0,0.0
14917,Rex Burkhead,11.7,7,NE,SF,16.5,0.0,5.7,48.1,0.0,0.0
14917,Rex Burkhead,4.5,8,NE,BUF,29.2,0.0,1.3,6.3,0.0,0.0
14917,Rex Burkhead,2.4,9,NE,NYJ,23.2,0.2,0.5,1.9,0.0,0.0
14917,Rex Burkhead,4.1,10,NE,BAL,13.8,0.0,0.8,15.5,0.4,0.0
14917,Rex Burkhead,5.7,11,NE,HOU,11.2,0.0,5.2,12.9,0.0,0.0
