ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
21765,,0,1,SF,,0,0,0,0,0,0
21765,,0,2,SF,,0,0,0,0,0,0
21765,JaMycal Hasty,2.0,3,SF,NYG,7.7,0.0,0.9,7.7,0.0,0.0
21765,JaMycal Hasty,0.0,4,SF,PHI,0.0,0.0,0.0,0.0,0.0,0.0
21765,JaMycal Hasty,0.0,5,SF,MIA,0.0,0.0,0.0,0.0,0.0,0.0
21765,JaMycal Hasty,8.8,6,SF,LAR,56.9,0.0,0.0,0.0,0.0,0.0
21765,JaMycal Hasty,3.9,7,SF,NE,40.1,0.0,0.5,11.3,0.0,0.0
21765,JaMycal Hasty,4.0,8,SF,SEA,18.8,0.4,0.4,0.8,0.0,0.0
21765,JaMycal Hasty,4.0,9,SF,GB,5.2,0.0,3.5,13.2,0.0,0.0
21765,JaMycal Hasty,0.9,10,SF,NO,6.5,0.0,1.0,-2.8,0.0,0.0
21765,,0,11,SF,,0,0,0,0,0,0
