ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19003,Tarik Cohen,5.9,1,CHI,DET,41.6,0.0,2.1,6.2,0.0,0.0
19003,Tarik Cohen,4.1,2,CHI,NYG,13.6,0.0,1.3,17.1,0.0,0.0
19003,Tarik Cohen,11.8,3,CHI,ATL,30.5,0.0,6.3,29.1,0.0,0.0
19003,,0,4,CHI,,0,0,0,0,0,0
19003,,0,5,CHI,,0,0,0,0,0,0
19003,,0,6,CHI,,0,0,0,0,0,0
19003,,0,7,CHI,,0,0,0,0,0,0
19003,,0,8,CHI,,0,0,0,0,0,0
19003,,0,9,CHI,,0,0,0,0,0,0
19003,,0,10,CHI,,0,0,0,0,0,0
19003,,0,11,CHI,,0,0,0,0,0,0
