ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19562,Austin Ekeler,11.6,1,LAC,CIN,106.2,0.0,1.6,4.8,0.0,0.0
19562,Austin Ekeler,26.9,2,LAC,KC,148.8,0.0,10.2,88.0,0.0,0.0
19562,Austin Ekeler,21.3,3,LAC,CAR,48.7,0.7,7.5,69.3,0.0,0.0
19562,Austin Ekeler,2.0,4,LAC,TB,12.3,0.0,1.1,2.1,0.0,0.0
19562,,0,5,LAC,,0,0,0,0,0,0
19562,,0,6,LAC,,0,0,0,0,0,0
19562,,0,7,LAC,,0,0,0,0,0,0
19562,,0,8,LAC,,0,0,0,0,0,0
19562,,0,9,LAC,,0,0,0,0,0,0
19562,,0,10,LAC,,0,0,0,0,0,0
19562,,0,11,LAC,,0,0,0,0,0,0
