ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
20912,Tony Pollard,4.2,1,DAL,LAR,10.0,0.0,2.0,22.0,0.0,0.0
20912,Tony Pollard,3.6,2,DAL,ATL,15.3,0.0,2.6,7.7,0.0,0.0
20912,Tony Pollard,0.0,3,DAL,SEA,0.0,0.0,0.5,-3.5,0.0,0.0
20912,Tony Pollard,12.5,4,DAL,CLE,20.7,1.7,1.7,20.7,0.0,0.0
20912,Tony Pollard,0.6,5,DAL,NYG,11.8,0.0,0.3,0.3,0.0,0.0
20912,Tony Pollard,4.9,6,DAL,ARI,30.7,0.0,2.0,8.8,0.0,0.0
20912,Tony Pollard,6.8,7,DAL,WAS,25.4,0.0,2.5,15.1,0.0,0.0
20912,Tony Pollard,6.3,8,DAL,PHI,37.0,0.0,1.7,22.2,0.0,0.0
20912,Tony Pollard,14.6,9,DAL,PIT,86.8,0.0,2.3,2.3,0.0,0.0
20912,,0,10,DAL,,0,0,0,0,0,0
20912,Tony Pollard,13.6,11,DAL,MIN,68.2,1.3,0.0,0.0,0.0,0.0
