ID,PlayerName,FantasyPoints,Week,Team,Opponent,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost
19045,Aaron Jones,14.6,1,GB,MIN,61.6,0.9,3.5,8.7,0.0,0.0
19045,Aaron Jones,41.3,2,GB,DET,159.1,1.8,3.6,64.4,0.9,0.0
19045,Aaron Jones,6.2,3,GB,NO,43.5,0.4,0.8,10.7,0.0,0.0
19045,Aaron Jones,12.3,4,GB,ATL,44.7,0.0,2.0,25.2,0.4,0.0
19045,,0,5,GB,,0,0,0,0,0,0
19045,Aaron Jones,1.2,6,GB,TB,1.6,0.1,0.3,2.7,0.0,0.0
19045,Aaron Jones,0.0,7,GB,HOU,0.0,0.0,0.0,0.0,0.0,0.0
19045,Aaron Jones,0.0,8,GB,MIN,0.0,0.0,0.0,0.0,0.0,0.0
19045,Aaron Jones,4.4,9,GB,SF,37.8,0.0,2.1,13.7,0.0,0.0
19045,Aaron Jones,13.6,10,GB,JAX,52.3,0.0,6.5,55.7,0.0,0.0
19045,Aaron Jones,5.6,11,GB,IND,24.9,0.4,1.5,18.2,0.0,0.0
