ID,PlayerName,FantasyPoints,Week,Team,Date,GameKey,lastTweetID,TweetsSinceLastGame
20824,Josh Jacobs,12.3,1,LV,2020-09-13T13:00:00,202010105.0,1304527809499377664,706
20824,Josh Jacobs,20.2,2,LV,2020-09-21T20:15:00,202010225.0,1306720537188548608,8
20824,Josh Jacobs,13.2,3,LV,2020-09-27T13:00:00,202010321.0,1309504606985043970,7
20824,Josh Jacobs,8.3,4,LV,2020-10-04T16:25:00,202010425.0,1312506816991911937,2
20824,Josh Jacobs,21.2,5,LV,2020-10-11T13:00:00,202010516.0,1314553901496987651,2
20824,Josh Jacobs,3.1,7,LV,2020-10-25T16:05:00,202010725.0,0,0
20824,Josh Jacobs,11.2,8,LV,2020-11-01T13:00:00,202010808.0,0,0
20824,Josh Jacobs,11.8,9,LV,2020-11-08T16:05:00,202010929.0,1323040807251685376,2
20824,Josh Jacobs,34.4,10,LV,2020-11-15T16:05:00,202011025.0,1327873038881148929,7
20824,Josh Jacobs,5.3,11,LV,2020-11-22T20:20:00,202011125.0,1330551184680108033,10
