ID,PlayerName,FantasyPoints,Week,Team,Date,GameKey,lastTweetID,TweetsSinceLastGame
15071,Latavius Murray,10.2,1,NO,2020-09-13T16:25:00,202010122.0,1302767079934832640,184
15071,Latavius Murray,9.3,2,NO,2020-09-21T20:15:00,202010225.0,1306768810322661379,5
15071,Latavius Murray,9.4,3,NO,2020-09-27T20:20:00,202010322.0,0,0
15071,Latavius Murray,18.4,4,NO,2020-10-04T13:00:00,202010411.0,1311137459791687680,1
15071,Latavius Murray,2.2,5,NO,2020-10-12T20:15:00,202010522.0,1315489434117251073,8
15071,Latavius Murray,0.4,7,NO,2020-10-25T13:00:00,202010722.0,0,0
15071,Latavius Murray,10.3,8,NO,2020-11-01T16:25:00,202010806.0,1321239367130775552,2
15071,Latavius Murray,7.2,9,NO,2020-11-08T20:20:00,202010933.0,1325258125725888513,9
15071,Latavius Murray,13.2,10,NO,2020-11-15T16:25:00,202011022.0,1327064367741988865,3
15071,Latavius Murray,3.7,11,NO,2020-11-22T13:00:00,202011122.0,1328857755537567747,1
