ID,PlayerName,FantasyPoints,Week,Team,Date,GameKey,lastTweetID,TweetsSinceLastGame
19822,Kerryon Johnson,2.4,1,DET,2020-09-13T13:00:00,202010111.0,1304186902082445312,1544
19822,Kerryon Johnson,13.8,2,DET,2020-09-20T13:00:00,202010212.0,1307098782518202368,21
19822,Kerryon Johnson,0.2,3,DET,2020-09-27T16:25:00,202010301.0,1310233035783073793,17
19822,Kerryon Johnson,0.4,4,DET,2020-10-04T13:00:00,202010411.0,1312565240895287296,13
19822,Kerryon Johnson,2.0,6,DET,2020-10-18T13:00:00,202010615.0,0,0
19822,Kerryon Johnson,0.0,7,DET,2020-10-25T13:00:00,202010702.0,1320134984917766145,14
19822,Kerryon Johnson,13.5,8,DET,2020-11-01T13:00:00,202010811.0,1322680175985893382,11
19822,Kerryon Johnson,0.9,9,DET,2020-11-08T13:00:00,202010920.0,1325276017670430725,21
19822,Kerryon Johnson,0.5,10,DET,2020-11-15T13:00:00,202011011.0,1326307963099897857,7
19822,Kerryon Johnson,13.4,11,DET,2020-11-22T13:00:00,202011105.0,1330318563878572033,25
