ID,PlayerName,FantasyPoints,Week,Team,Date,GameKey,lastTweetID,TweetsSinceLastGame
20500,Darrel Williams,3.1,1,KC,2020-09-10T20:20:00,202010116.0,1304129150211559424,629
20500,Darrel Williams,4.4,2,KC,2020-09-20T16:25:00,202010229.0,1306198814206955521,6
20500,Darrel Williams,0.9,3,KC,2020-09-28T20:15:00,202010303.0,1310587533802246145,10
20500,Darrel Williams,0.3,4,KC,2020-10-05T19:05:00,202010416.0,1310954701102501897,3
20500,Darrel Williams,0.7,5,KC,2020-10-11T13:00:00,202010516.0,1313632794346741761,1
20500,Darrel Williams,11.9,6,KC,2020-10-19T17:00:00,202010604.0,1316955320200159233,4
20500,Darrel Williams,0.0,7,KC,2020-10-25T16:25:00,202010710.0,1318640731473457155,4
20500,Darrel Williams,1.0,8,KC,2020-11-01T13:00:00,202010816.0,1321243196677103622,4
20500,Darrel Williams,1.1,9,KC,2020-11-08T13:00:00,202010916.0,0,0
20500,Darrel Williams,7.4,11,KC,2020-11-22T20:20:00,202011125.0,0,0
