ID,PlayerName,FantasyPoints,Week,Team,Date,GameKey,lastTweetID,TweetsSinceLastGame
19861,Ronald Jones II,13.7,1,TB,2020-09-13T16:25:00,202010122.0,1295332619488505858,194
19861,Ronald Jones II,14.5,2,TB,2020-09-20T13:00:00,202010233.0,1307394554266607618,2
19861,Ronald Jones II,11.6,3,TB,2020-09-27T16:25:00,202010310.0,1307797016462921728,2
19861,Ronald Jones II,14.4,4,TB,2020-10-04T13:00:00,202010433.0,0,0
19861,Ronald Jones II,4.9,5,TB,2020-10-08T20:20:00,202010506.0,0,0
19861,Ronald Jones II,15.2,6,TB,2020-10-18T16:25:00,202010633.0,1315481691264364545,1
19861,Ronald Jones II,0.8,7,TB,2020-10-25T16:05:00,202010725.0,0,0
19861,Ronald Jones II,7.5,8,TB,2020-11-02T20:15:00,202010823.0,1322602481415868421,3
19861,Ronald Jones II,3.1,9,TB,2020-11-08T20:20:00,202010933.0,1325155204166283266,1
19861,Ronald Jones II,41.0,10,TB,2020-11-15T13:00:00,202011005.0,0,0
19861,Ronald Jones II,1.2,11,TB,2020-11-23T20:15:00,202011133.0,1328460666773123072,1
