GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,Canceled,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Day,DateTime,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,ScoreID,Status,StadiumDetails
202010330,1,2020,3,2020-09-27T16:25:00,DAL,SEA,FOX,-3.9,41,31,FALSE,,,54,55,Clear Sky,55,5,137,-168,2020-09-27T00:00:00,2020-09-27T16:25:00,17308,9,30,17308,Final,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
202010322,1,2020,3,2020-09-27T20:20:00,GB,NO,NBC,-2.5,36.7,27,FALSE,,,76,77,Clear Sky,77,6,102,-121,2020-09-27T00:00:00,2020-09-27T20:20:00,17309,12,22,17309,Final,"{'StadiumID': 27, 'Name': 'Mercedes-Benz Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
202010303,1,2020,3,2020-09-28T20:15:00,KC,BAL,ESPN,-2.5,39.2,7,FALSE,,,71,72,Few Clouds,71,9,111,-130,2020-09-28T00:00:00,2020-09-28T20:15:00,17310,16,3,17310,Final,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
,1,2020,4,,BYE,PIT,,,,,,,,,,,,1,,,,,0,0,28,0,,
,1,2020,4,,BYE,TEN,,,,,,,,,,,,1,,,,,0,0,34,0,,
202010424,1,2020,4,2020-10-01T20:20:00,DEN,NYJ,NFLN,-0.7,29.6,3,FALSE,,,62,63,Light Rain,63,6,72,-85,2020-10-01T00:00:00,2020-10-01T20:20:00,17311,10,24,17311,Final,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202010405,1,2020,4,2020-10-04T13:00:00,ARI,CAR,FOX,1.5,37.1,26,FALSE,,,56,58,Broken Clouds,56,1,-118,100,2020-10-04T00:00:00,2020-10-04T13:00:00,17320,1,5,17320,Final,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 73778, 'PlayingSurface': 'Grass', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
202010407,1,2020,4,2020-10-04T13:00:00,JAX,CIN,CBS,-1.1,35.6,5,FALSE,,,46,46,Few Clouds,44,5,73,-86,2020-10-04T00:00:00,2020-10-04T13:00:00,17313,15,7,17313,Final,"{'StadiumID': 5, 'Name': 'Paul Brown Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65535, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
202010409,1,2020,4,2020-10-04T13:00:00,CLE,DAL,FOX,-2.5,40.3,17,FALSE,,,66,69,Clear Sky,66,6,108,-130,2020-10-04T00:00:00,2020-10-04T13:00:00,17314,8,9,17314,Final,"{'StadiumID': 17, 'Name': 'AT&T Stadium', 'City': 'Arlington', 'State': 'TX', 'Country': 'USA', 'Capacity': 80000, 'PlayingSurface': 'Artificial', 'GeoLat': 32.747778, 'GeoLong': -97.092778, 'Type': 'RetractableDome'}"
202010411,1,2020,4,2020-10-04T13:00:00,NO,DET,FOX,1.5,36.7,21,FALSE,,,47,48,Clear Sky,44,6,-115,98,2020-10-04T00:00:00,2020-10-04T13:00:00,17315,22,11,17315,Final,"{'StadiumID': 21, 'Name': 'Ford Field', 'City': 'Detroit', 'State': 'MI', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Artificial', 'GeoLat': 42.340021, 'GeoLong': -83.045556, 'Type': 'Dome'}"
202010413,1,2020,4,2020-10-04T13:00:00,MIN,HOU,FOX,-2.5,37.4,11,FALSE,,,72,73,Scattered Clouds,73,8,106,-127,2020-10-04T00:00:00,2020-10-04T13:00:00,17321,20,13,17321,Final,"{'StadiumID': 11, 'Name': 'NRG Stadium', 'City': 'Houston', 'State': 'TX', 'Country': 'USA', 'Capacity': 71054, 'PlayingSurface': 'Artificial', 'GeoLat': 29.684722, 'GeoLong': -95.410833, 'Type': 'RetractableDome'}"
202010419,1,2020,4,2020-10-04T13:00:00,SEA,MIA,FOX,2.3,39.2,2,FALSE,,,84,84,Light Rain,84,12,-162,133,2020-10-04T00:00:00,2020-10-04T13:00:00,17317,30,19,17317,Final,"{'StadiumID': 2, 'Name': 'Hard Rock Stadium', 'City': 'Miami Gardens', 'State': 'FL', 'Country': 'USA', 'Capacity': 76100, 'PlayingSurface': 'Grass', 'GeoLat': 25.958056, 'GeoLong': -80.238889, 'Type': 'Outdoor'}"
202010433,1,2020,4,2020-10-04T13:00:00,LAC,TB,CBS,-5.3,30.3,24,FALSE,,,73,73,Overcast Clouds,73,14,207,-257,2020-10-04T00:00:00,2020-10-04T13:00:00,17318,29,33,17318,Final,"{'StadiumID': 24, 'Name': 'Raymond James Stadium', 'City': 'Tampa Bay', 'State': 'FL', 'Country': 'USA', 'Capacity': 65890, 'PlayingSurface': 'Grass', 'GeoLat': 27.975833, 'GeoLong': -82.503333, 'Type': 'Outdoor'}"
202010434,1,2020,4,2020-10-04T13:00:00,PIT,TEN,CBS,1,33.5,12,FALSE,,,52,52,Scattered Clouds,52,7,-93,77,2020-10-04T00:00:00,2020-10-04T13:00:00,17316,28,34,17316,Postponed,"{'StadiumID': 12, 'Name': 'Nissan Stadium', 'City': 'Nashville', 'State': 'TN', 'Country': 'USA', 'Capacity': 6914, 'PlayingSurface': 'Grass', 'GeoLat': 36.166389, 'GeoLong': -86.771389, 'Type': 'Outdoor'}"
202010435,1,2020,4,2020-10-04T13:00:00,BAL,WAS,CBS,7.1,32.1,19,FALSE,,,55,56,Scattered Clouds,56,3,-764,510,2020-10-04T00:00:00,2020-10-04T13:00:00,17319,3,35,17319,Final,"{'StadiumID': 19, 'Name': 'FedEx Field', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 85000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
202010432,1,2020,4,2020-10-04T16:05:00,NYG,LAR,FOX,-9.6,35.6,54,FALSE,,,65,66,Clear Sky,65,3,448,-650,2020-10-04T00:00:00,2020-10-04T16:05:00,17322,23,32,17322,Final,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
202010406,1,2020,4,2020-10-04T16:25:00,IND,CHI,CBS,1.8,31,20,FALSE,,,47,49,Scattered Clouds,44,5,-124,105,2020-10-04T00:00:00,2020-10-04T16:25:00,17312,14,6,17312,Final,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
202010425,1,2020,4,2020-10-04T16:25:00,BUF,LV,CBS,1.8,37.4,53,FALSE,,,76,79,Clear Sky,79,3,-127,106,2020-10-04T00:00:00,2020-10-04T16:25:00,17324,4,25,17324,Final,"{'StadiumID': 53, 'Name': 'Allegiant Stadium', 'City': 'Paradise', 'State': 'NV', 'Country': 'USA', 'Capacity': 72000, 'PlayingSurface': 'Grass', 'GeoLat': 36.090833, 'GeoLong': -115.183611, 'Type': 'Dome'}"
202010431,1,2020,4,2020-10-04T20:20:00,PHI,SF,NBC,-6.1,32.4,37,FALSE,,,70,72,Few Clouds,70,2,202,-250,2020-10-04T00:00:00,2020-10-04T20:20:00,17325,26,31,17325,Final,"{'StadiumID': 37, 'Name': ""Levi's Stadium"", 'City': 'Santa Clara', 'State': 'CA', 'Country': 'USA', 'Capacity': 68500, 'PlayingSurface': 'Grass', 'GeoLat': 37.403, 'GeoLong': -121.970274, 'Type': 'Outdoor'}"
202010416,1,2020,4,2020-10-05T19:05:00,NE,KC,CBS,-7.8,34.6,15,FALSE,,,60,62,Clear Sky,62,12,334,-443,2020-10-05T00:00:00,2020-10-05T19:05:00,17323,21,16,17323,Final,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
202010412,1,2020,4,2020-10-05T21:00:00,ATL,GB,ESPN,-3.6,40.3,22,FALSE,,,54,54,Few Clouds,54,17,133,-160,2020-10-05T00:00:00,2020-10-05T21:00:00,17326,2,12,17326,Final,"{'StadiumID': 22, 'Name': 'Lambeau Field', 'City': 'Green Bay', 'State': 'WI', 'Country': 'USA', 'Capacity': 80750, 'PlayingSurface': 'Grass', 'GeoLat': 44.501389, 'GeoLong': -88.062222, 'Type': 'Outdoor'}"
,1,2020,5,,BYE,DEN,,,,,,,,,,,,1,,,,,0,0,10,0,,
,1,2020,5,,BYE,DET,,,,,,,,,,,,1,,,,,0,0,11,0,,
,1,2020,5,,BYE,GB,,,,,,,,,,,,1,,,,,0,0,12,0,,
,1,2020,5,,BYE,NE,,,,,,,,,,,,1,,,,,0,0,21,0,,
202010506,1,2020,5,2020-10-08T20:20:00,TB,CHI,FOX,1.8,31.4,20,FALSE,,,57,58,Clear Sky,57,9,-138,116,2020-10-08T00:00:00,2020-10-08T20:20:00,17327,33,6,17327,Final,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
202010502,1,2020,5,2020-10-11T13:00:00,CAR,ATL,FOX,-1.8,38.5,45,FALSE,,,69,69,Overcast Clouds,69,5,82,-96,2020-10-11T00:00:00,2020-10-11T13:00:00,17328,5,2,17328,Final,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
202010503,1,2020,5,2020-10-11T13:00:00,CIN,BAL,CBS,-8.6,34.9,7,FALSE,,,64,65,Moderate Rain,64,10,380,-514,2020-10-11T00:00:00,2020-10-11T13:00:00,17335,7,3,17335,Final,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
202010513,1,2020,5,2020-10-11T13:00:00,JAX,HOU,CBS,-4.3,38.9,11,FALSE,,,77,77,Clear Sky,77,8,158,-194,2020-10-11T00:00:00,2020-10-11T13:00:00,17336,15,13,17336,Final,"{'StadiumID': 11, 'Name': 'NRG Stadium', 'City': 'Houston', 'State': 'TX', 'Country': 'USA', 'Capacity': 71054, 'PlayingSurface': 'Artificial', 'GeoLat': 29.684722, 'GeoLong': -95.410833, 'Type': 'RetractableDome'}"
202010516,1,2020,5,2020-10-11T13:00:00,LV,KC,CBS,-7.5,38.9,15,FALSE,,,73,74,Clear Sky,74,17,308,-400,2020-10-11T00:00:00,2020-10-11T13:00:00,17330,25,16,17330,Final,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
202010524,1,2020,5,2020-10-11T13:00:00,ARI,NYJ,FOX,3.6,34.6,3,FALSE,,,58,59,Light Rain,59,13,-219,179,2020-10-11T00:00:00,2020-10-11T13:00:00,17332,1,24,17332,Final,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202010528,1,2020,5,2020-10-11T13:00:00,PHI,PIT,FOX,-5.3,31.4,8,FALSE,,,62,62,Light Rain,62,9,198,-245,2020-10-11T00:00:00,2020-10-11T13:00:00,17333,26,28,17333,Final,"{'StadiumID': 8, 'Name': 'Heinz Field', 'City': 'Pittsburgh', 'State': 'PA', 'Country': 'USA', 'Capacity': 65050, 'PlayingSurface': 'Grass', 'GeoLat': 40.446667, 'GeoLong': -80.015833, 'Type': 'Outdoor'}"
202010535,1,2020,5,2020-10-11T13:00:00,LAR,WAS,FOX,3.8,32.1,19,FALSE,,,65,65,Heavy Intensity Rain,65,9,-258,208,2020-10-11T00:00:00,2020-10-11T13:00:00,17334,32,35,17334,Final,"{'StadiumID': 19, 'Name': 'FedEx Field', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 85000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
202010531,1,2020,5,2020-10-11T16:05:00,MIA,SF,FOX,-6.1,36,37,FALSE,,,64,65,Clear Sky,64,1,224,-278,2020-10-11T00:00:00,2020-10-11T16:05:00,17337,19,31,17337,Final,"{'StadiumID': 37, 'Name': ""Levi's Stadium"", 'City': 'Santa Clara', 'State': 'CA', 'Country': 'USA', 'Capacity': 68500, 'PlayingSurface': 'Grass', 'GeoLat': 37.403, 'GeoLong': -121.970274, 'Type': 'Outdoor'}"
202010508,1,2020,5,2020-10-11T16:25:00,IND,CLE,CBS,-0.7,34.9,6,FALSE,,,61,63,Scattered Clouds,61,13,-73,-83,2020-10-11T00:00:00,2020-10-11T16:25:00,17338,14,8,17338,Final,"{'StadiumID': 6, 'Name': 'FirstEnergy Stadium', 'City': 'Cleveland', 'State': 'OH', 'Country': 'USA', 'Capacity': 71516, 'PlayingSurface': 'Grass', 'GeoLat': 41.506111, 'GeoLong': -81.699444, 'Type': 'Outdoor'}"
